sensor,correlation,n_windows
XMEAS_22,0.7033416412250414,1360
XMEAS_19,0.07900166179333151,1360
XMV_9,0.019141730360929254,1360
XMEAS_18,0.09810030967217985,1360
XMEAS_38,0.1740907394342263,1360
XMEAS_20,0.2028064383290952,1360
XMEAS_11,0.2554461437656828,1360
XMV_5,-0.03565869603969345,1360
XMEAS_13,0.09893037857221156,1360
XMEAS_7,0.07785053628159473,1360
