sensor,normal_mean,normal_median,normal_std,normal_p95,normal_p99,normal_max,fault15_mean,fault15_median,fault15_std,fault15_p95,fault15_p99,fault15_max,fault15_post_mean,fault15_post_p95,fault15_post_max,mean_difference,mean_ratio,p95_difference,p95_ratio,post_mean_difference
XMEAS_1,0.411515474319458,0.40085139870643616,0.11913569271564484,0.6192315816879272,0.7362228631973267,0.9219769239425659,0.4087269604206085,0.39744630455970764,0.1202736422419548,0.6258198618888855,0.7378173470497131,0.9976105093955994,0.409649133682251,0.6273120641708374,0.965186357498169,-0.0027885138988494873,0.9932237863540649,0.006588280200958252,1.0106394290924072,-0.0018663406372070312
XMEAS_2,0.6582996249198914,0.643701434135437,0.14880317449569702,0.927422821521759,1.0861390829086304,1.3067153692245483,0.6513950824737549,0.6377140283584595,0.14655472338199615,0.9132922887802124,1.0621882677078247,1.6135501861572266,0.6524072885513306,0.9144190549850464,1.4963130950927734,-0.006904542446136475,0.9895115494728088,-0.01413053274154663,0.9847636818885803,-0.005892336368560791
XMEAS_3,0.7488357424736023,0.7386739253997803,0.1523735076189041,1.0216100215911865,1.1495435237884521,1.4227250814437866,0.7463797330856323,0.7326824069023132,0.15428592264652252,1.0218415260314941,1.1546636819839478,1.5119515657424927,0.7479154467582703,1.0201281309127808,1.485991358757019,-0.0024560093879699707,0.9967202544212341,0.0002315044403076172,1.000226616859436,-0.0009202957153320312
XMEAS_4,0.7154350280761719,0.709031879901886,0.12803995609283447,0.9373248815536499,1.0422735214233398,1.4052726030349731,0.7142905592918396,0.7063224911689758,0.1285136193037033,0.9350951910018921,1.0410367250442505,1.4276701211929321,0.7127546668052673,0.9315940141677856,1.4276701211929321,-0.0011444687843322754,0.9984003305435181,-0.0022296905517578125,0.9976212382316589,-0.002680361270904541
XMEAS_5,0.9995695948600769,0.9858706593513489,0.18191765248775482,1.3194266557693481,1.488543152809143,1.8514916896820068,0.9999398589134216,0.988228440284729,0.1795354187488556,1.3099949359893799,1.4758522510528564,1.9657816886901855,1.000738263130188,1.3118246793746948,1.8499830961227417,0.00037026405334472656,1.0003703832626343,-0.009431719779968262,0.9928516745567322,0.001168668270111084
XMEAS_6,0.9756683111190796,0.9656075239181519,0.17439788579940796,1.2730963230133057,1.4340059757232666,1.6568952798843384,0.9668450951576233,0.958811342716217,0.17351919412612915,1.265696406364441,1.410556435585022,1.9694727659225464,0.9666685461997986,1.2651140689849854,1.9694727659225464,-0.008823215961456299,0.990956723690033,-0.007399916648864746,0.9941874742507935,-0.008999764919281006
XMEAS_7,0.04697168618440628,0.04599403217434883,0.010833995416760445,0.06658919900655746,0.07793845236301422,0.09645465016365051,0.053100936114788055,0.051829613745212555,0.012776670977473259,0.07595023512840271,0.08928922563791275,0.1346673220396042,0.05329802632331848,0.0761762261390686,0.1346673220396042,0.006129249930381775,1.1304881572723389,0.009361036121845245,1.1405788660049438,0.006326340138912201
XMEAS_8,0.8438655138015747,0.8395547866821289,0.14726698398590088,1.0956449508666992,1.1978598833084106,1.3588587045669556,0.8524717092514038,0.8457527160644531,0.15066920220851898,1.1117286682128906,1.2342395782470703,1.7541669607162476,0.8509567379951477,1.1103556156158447,1.5386608839035034,0.008606195449829102,1.0101985931396484,0.016083717346191406,1.0146796703338623,0.007091224193572998
XMEAS_9,0.8265842199325562,0.806381106376648,0.18381823599338531,1.1495307683944702,1.332097053527832,1.829482078552246,0.8286861777305603,0.8076349496841431,0.1948864758014679,1.175478219985962,1.3906559944152832,2.515509605407715,0.8289825320243835,1.1767146587371826,2.515509605407715,0.0021019577980041504,1.0025429725646973,0.0259474515914917,1.0225721597671509,0.0023983120918273926
XMEAS_10,0.5614795088768005,0.5449560880661011,0.16085416078567505,0.8520945906639099,1.018627405166626,1.557434320449829,0.5662730932235718,0.5498365163803101,0.16144101321697235,0.85588538646698,1.0139212608337402,1.5659823417663574,0.5679163336753845,0.8595374226570129,1.5659823417663574,0.00479358434677124,1.0085374116897583,0.0037907958030700684,1.0044487714767456,0.006436824798583984
XMEAS_11,0.33822959661483765,0.32973453402519226,0.0838872492313385,0.4925186336040497,0.5700086355209351,0.7866110801696777,0.4097667634487152,0.39826470613479614,0.10369013249874115,0.5945916175842285,0.705085039138794,1.2132288217544556,0.4107433557510376,0.5945942401885986,1.2132288217544556,0.07153716683387756,1.2115046977996826,0.10207298398017883,1.2072468996047974,0.07251375913619995
XMEAS_12,0.9978426098823547,0.9901089072227478,0.1791945993900299,1.3042945861816406,1.4511277675628662,1.8140755891799927,0.9965201616287231,0.9874731302261353,0.1787215620279312,1.3056703805923462,1.4583430290222168,1.8176697492599487,0.9958102107048035,1.3064831495285034,1.8176697492599487,-0.0013224482536315918,0.9986746907234192,0.0013757944107055664,1.0010547637939453,-0.0020323991775512695
XMEAS_13,0.05273118242621422,0.051676444709300995,0.011867407709360123,0.07448337227106094,0.08516782522201538,0.10243671387434006,0.05935706943273544,0.05799334868788719,0.013871291652321815,0.08426456898450851,0.09887030720710754,0.1360531598329544,0.059507664293050766,0.08456020802259445,0.1360531598329544,0.006625887006521225,1.1256541013717651,0.00978119671344757,1.131320595741272,0.006776481866836548
XMEAS_14,0.9904765486717224,0.978888750076294,0.18450114130973816,1.314950942993164,1.4518117904663086,1.9007281064987183,0.9938977956771851,0.9818367958068848,0.17975889146327972,1.3082724809646606,1.4616771936416626,1.9186735153198242,0.9955897331237793,1.310111165046692,1.9186735153198242,0.0034212470054626465,1.0034540891647339,-0.006678462028503418,0.9949211478233337,0.005113184452056885
XMEAS_15,0.9968517422676086,0.9850075840950012,0.17019005119800568,1.2918716669082642,1.4275814294815063,1.8141990900039673,0.9948817491531372,0.9835784435272217,0.17673073709011078,1.3039284944534302,1.4494620561599731,1.8404991626739502,0.9932543635368347,1.3011373281478882,1.8404991626739502,-0.0019699931144714355,0.9980238080024719,0.012056827545166016,1.0093328952789307,-0.0035973787307739258
XMEAS_16,0.06702493876218796,0.06504696607589722,0.01632694900035858,0.09731929749250412,0.11220994591712952,0.1592654585838318,0.07454405725002289,0.07241220772266388,0.01920994557440281,0.10907987505197525,0.12945318222045898,0.2213716357946396,0.07490239292383194,0.10956188291311264,0.2213716357946396,0.00751911848783493,1.112183928489685,0.01176057755947113,1.1208453178405762,0.007877454161643982
XMEAS_17,0.9843653440475464,0.972645103931427,0.17854353785514832,1.289941668510437,1.4483834505081177,1.8177682161331177,0.9875518083572388,0.9759886264801025,0.17855586111545563,1.2981270551681519,1.4447027444839478,2.0345373153686523,0.9865384697914124,1.2937500476837158,2.0345373153686523,0.003186464309692383,1.0032371282577515,0.008185386657714844,1.006345510482788,0.002173125743865967
XMEAS_18,0.023483602330088615,0.022211039438843727,0.008249323815107346,0.03891872242093086,0.04933049902319908,0.07051369547843933,0.027309400960803032,0.025880686938762665,0.00942210666835308,0.04467573016881943,0.056364335119724274,0.10036155581474304,0.027586933225393295,0.045088883489370346,0.10036155581474304,0.0038257986307144165,1.1629135608673096,0.005757007747888565,1.1479238271713257,0.00410333089530468
XMEAS_19,0.028230663388967514,0.026572417467832565,0.009337980300188065,0.04632014408707619,0.05883370339870453,0.09934426099061966,0.028313783928751945,0.02656508982181549,0.009431278333067894,0.04593851417303085,0.059498704969882965,0.10683539509773254,0.02855534479022026,0.04642847552895546,0.10683539509773254,8.312053978443146e-05,1.0029442310333252,-0.00038162991404533386,0.9917610287666321,0.0003246814012527466
XMEAS_20,0.03544659540057182,0.0340389758348465,0.00925264973193407,0.052665721625089645,0.06476786732673645,0.09375268220901489,0.03579629957675934,0.03440016135573387,0.009371143765747547,0.05322815477848053,0.06531922519207001,0.11080017685890198,0.035846076905727386,0.0535493940114975,0.11080017685890198,0.00034970417618751526,1.009865641593933,0.0005624331533908844,1.0106792449951172,0.00039948150515556335
XMEAS_21,0.45057547092437744,0.4384184181690216,0.10914930701255798,0.648348867893219,0.7324780225753784,0.8740953803062439,0.4587721526622772,0.4483994245529175,0.10999687016010284,0.6550959348678589,0.7615067362785339,1.2091580629348755,0.46115681529045105,0.6607645153999329,1.2091580629348755,0.00819668173789978,1.0181915760040283,0.006747066974639893,1.010406494140625,0.010581344366073608
XMEAS_22,0.7759265303611755,0.7611569762229919,0.15913687646389008,1.0610852241516113,1.1980869770050049,1.437429428100586,0.9138230085372925,0.8977828025817871,0.1903158575296402,1.2514092922210693,1.4218076467514038,1.9979791641235352,0.9148414731025696,1.2517459392547607,1.9804362058639526,0.13789647817611694,1.1777185201644897,0.190324068069458,1.1793674230575562,0.13891494274139404
XMEAS_23,0.49404311180114746,0.48130208253860474,0.14300760626792908,0.7448349595069885,0.8891342878341675,1.13432776927948,0.49135884642601013,0.47763243317604065,0.1445273905992508,0.7515460252761841,0.8900404572486877,1.216737985610962,0.4923228919506073,0.754028856754303,1.216737985610962,-0.002684265375137329,0.9945667386054993,0.006711065769195557,1.0090101957321167,-0.0017202198505401611
XMEAS_24,0.9338825345039368,0.9157164692878723,0.2406095415353775,1.3536540269851685,1.5701500177383423,1.9688434600830078,0.9265037775039673,0.909164309501648,0.23301173746585846,1.3379061222076416,1.55404794216156,1.9830689430236816,0.9275620579719543,1.3449983596801758,1.9830689430236816,-0.007378756999969482,0.992098867893219,-0.015747904777526855,0.9883663654327393,-0.006320476531982422
XMEAS_25,0.6280484795570374,0.6134006977081299,0.15608127415180206,0.9107890129089355,1.054229974746704,1.2577146291732788,0.621091902256012,0.609660267829895,0.15516062080860138,0.8963127732276917,1.0369805097579956,1.5227851867675781,0.6212376356124878,0.9000949859619141,1.5227851867675781,-0.006956577301025391,0.9889234900474548,-0.014476239681243896,0.9841058254241943,-0.0068108439445495605
XMEAS_26,0.523097038269043,0.501606285572052,0.16314631700515747,0.8328869938850403,1.0138437747955322,1.3738224506378174,0.5254026651382446,0.5063188076019287,0.16206130385398865,0.8234541416168213,0.9802073836326599,1.4080002307891846,0.5262712240219116,0.8247553706169128,1.4080002307891846,0.00230562686920166,1.0044076442718506,-0.009432852268218994,0.988674521446228,0.0031741857528686523
XMEAS_27,0.6751425266265869,0.6610603928565979,0.17214690148830414,0.9886947274208069,1.1485068798065186,1.3541595935821533,0.6731747984886169,0.6586666107177734,0.17220115661621094,0.9786229133605957,1.1351828575134277,1.4574222564697266,0.6739916205406189,0.9779365658760071,1.4574222564697266,-0.0019677281379699707,0.997085452079773,-0.010071814060211182,0.9898130297660828,-0.0011509060859680176
XMEAS_28,0.9562276005744934,0.9376440048217773,0.23783467710018158,1.392000675201416,1.5732253789901733,1.9644631147384644,0.9467975497245789,0.9302643537521362,0.23525413870811462,1.3588707447052002,1.5601849555969238,2.0624186992645264,0.9471206068992615,1.3575165271759033,2.0624186992645264,-0.00943005084991455,0.9901382923126221,-0.03312993049621582,0.976199746131897,-0.009106993675231934
XMEAS_29,0.5364126563072205,0.5238820910453796,0.13761240243911743,0.7801186442375183,0.9180824756622314,1.1282786130905151,0.5319828987121582,0.520877480506897,0.13303884863853455,0.7710515260696411,0.8855324387550354,1.1622297763824463,0.5307496786117554,0.7677832841873169,1.1144545078277588,-0.004429757595062256,0.9917418956756592,-0.009067118167877197,0.9883772730827332,-0.005662977695465088
XMEAS_30,0.5920888781547546,0.5734282732009888,0.17433543503284454,0.9049837589263916,1.1072108745574951,1.7424005270004272,0.5986415147781372,0.5817991495132446,0.1742587387561798,0.9115062952041626,1.0836338996887207,1.7325180768966675,0.6007124781608582,0.9138516783714294,1.7325180768966675,0.006552636623382568,1.0110670328140259,0.006522536277770996,1.0072073936462402,0.008623600006103516
XMEAS_31,0.4262823462486267,0.41879138350486755,0.10544708371162415,0.617695689201355,0.7154871225357056,0.8251648545265198,0.41874346137046814,0.41034823656082153,0.10361356288194656,0.6032998561859131,0.6971054077148438,1.0200221538543701,0.4198751449584961,0.6031356453895569,1.0200221538543701,-0.007538884878158569,0.9823148250579834,-0.014395833015441895,0.9766942858695984,-0.006407201290130615
XMEAS_32,0.9643090963363647,0.9488230347633362,0.2483198046684265,1.4019919633865356,1.6045434474945068,2.1037917137145996,0.9638205766677856,0.9431018233299255,0.24415266513824463,1.3981382846832275,1.6264722347259521,2.223017930984497,0.9660953879356384,1.3960977792739868,2.2102291584014893,-0.0004885196685791016,0.999493420124054,-0.0038536787033081055,0.9972512722015381,0.0017862915992736816
XMEAS_33,0.5575050711631775,0.5430259704589844,0.13824264705181122,0.8203718066215515,0.9236801862716675,1.1520001888275146,0.558029294013977,0.5471118688583374,0.13873715698719025,0.8072278499603271,0.9273011088371277,1.2593950033187866,0.5599740147590637,0.8080954551696777,1.2593950033187866,0.0005242228507995605,1.0009403228759766,-0.013143956661224365,0.9839780330657959,0.0024689435958862305
XMEAS_34,0.894668459892273,0.8814978003501892,0.22238607704639435,1.280181884765625,1.5188575983047485,2.018357038497925,0.8869937062263489,0.8716539740562439,0.2167835235595703,1.2673826217651367,1.453721046447754,2.0372731685638428,0.8887735605239868,1.270501732826233,2.0372731685638428,-0.007674753665924072,0.9914216995239258,-0.012799263000488281,0.9900019764900208,-0.005894899368286133
XMEAS_35,0.639571487903595,0.6282593011856079,0.15306700766086578,0.9122774600982666,1.0280523300170898,1.2789521217346191,0.6457214951515198,0.6315767765045166,0.16153720021247864,0.9333119988441467,1.0796821117401123,1.3850585222244263,0.6455087661743164,0.9332852363586426,1.3850585222244263,0.006150007247924805,1.0096157789230347,0.021034538745880127,1.023057222366333,0.0059372782707214355
XMEAS_36,0.918199896812439,0.9018335342407227,0.22867001593112946,1.321672797203064,1.5479053258895874,1.8346219062805176,0.910982072353363,0.8935260772705078,0.22475148737430573,1.3085763454437256,1.51923406124115,2.140321969985962,0.9092923998832703,1.3071917295455933,2.140321969985962,-0.007217824459075928,0.9921391606330872,-0.013096451759338379,0.9900910258293152,-0.008907496929168701
XMEAS_37,0.5936855673789978,0.5352867841720581,0.31122827529907227,1.1814895868301392,1.5012904405593872,2.842987298965454,0.5750783681869507,0.5260108709335327,0.2892513573169708,1.1252965927124023,1.4168113470077515,2.8419196605682373,0.5783337354660034,1.1245087385177612,2.1568603515625,-0.01860719919204712,0.9686581492424011,-0.056192994117736816,0.9524388313293457,-0.015351831912994385
XMEAS_38,0.26307153701782227,0.25319811701774597,0.10398173332214355,0.4556553363800049,0.5477887988090515,0.7132726311683655,0.2688015103340149,0.2544378638267517,0.11100830882787704,0.47493836283683777,0.5885778665542603,0.9822627902030945,0.2710842192173004,0.4773845970630646,0.9822627902030945,0.005729973316192627,1.021781086921692,0.019283026456832886,1.0423192977905273,0.00801268219947815
XMEAS_39,0.6083366274833679,0.5566035509109497,0.29566100239753723,1.1792681217193604,1.470025897026062,2.0661942958831787,0.5913862586021423,0.5425524115562439,0.29083988070487976,1.1457359790802002,1.4510799646377563,2.3196232318878174,0.5894219279289246,1.1352438926696777,2.0839645862579346,-0.016950368881225586,0.9721365571022034,-0.033532142639160156,0.971565306186676,-0.01891469955444336
XMEAS_40,0.6509346961975098,0.598507285118103,0.31792259216308594,1.2467049360275269,1.5569790601730347,2.4099929332733154,0.6388759016990662,0.5869913101196289,0.303924024105072,1.211714744567871,1.5526139736175537,2.4067423343658447,0.6390906572341919,1.210383653640747,2.4067423343658447,-0.012058794498443604,0.9814746379852295,-0.03499019145965576,0.9719338417053223,-0.011844038963317871
XMEAS_41,0.5962821841239929,0.5476701259613037,0.28818222880363464,1.1399178504943848,1.4955203533172607,2.009361505508423,0.5864567160606384,0.5338414311408997,0.2918511629104614,1.1320827007293701,1.4923372268676758,2.739274501800537,0.5889559388160706,1.1327240467071533,2.739274501800537,-0.009825468063354492,0.9835221171379089,-0.007835149765014648,0.9931265711784363,-0.007326245307922363
XMV_1,0.64189612865448,0.6274864077568054,0.13986393809318542,0.8995858430862427,1.0313793420791626,1.4075942039489746,0.6481329798698425,0.6340675354003906,0.14401081204414368,0.9061030149459839,1.0509321689605713,1.4366391897201538,0.6505985260009766,0.9096342921257019,1.4366391897201538,0.006236851215362549,1.009716272354126,0.006517171859741211,1.00724458694458,0.008702397346496582
XMV_2,0.7517746090888977,0.7395858764648438,0.15296588838100433,1.0227519273757935,1.148677110671997,1.449479579925537,0.7496706247329712,0.7379868030548096,0.1540001481771469,1.0216854810714722,1.1605254411697388,1.753426432609558,0.7492938041687012,1.021691083908081,1.753426432609558,-0.0021039843559265137,0.9972013235092163,-0.001066446304321289,0.9989572763442993,-0.002480804920196533
XMV_3,0.4111088812351227,0.4009534418582916,0.11923469603061676,0.6187037229537964,0.7372037172317505,0.918883204460144,0.4086673855781555,0.3972315192222595,0.12039677053689957,0.6266564726829529,0.7384011149406433,0.9856550097465515,0.4097168743610382,0.628163754940033,0.9815897345542908,-0.002441495656967163,0.9940611720085144,0.007952749729156494,1.0128538608551025,-0.0013920068740844727
XMV_4,0.9475719928741455,0.9402533769607544,0.17093078792095184,1.2305479049682617,1.3777995109558105,1.7704931497573853,0.9431638121604919,0.934464693069458,0.16841892898082733,1.2329771518707275,1.377583384513855,1.843324065208435,0.941229522228241,1.228768229484558,1.843324065208435,-0.0044081807136535645,0.9953479170799255,0.0024292469024658203,1.001974105834961,-0.006342470645904541
XMV_5,0.1690174788236618,0.16675075888633728,0.030719636008143425,0.22259044647216797,0.2504371702671051,0.28522440791130066,0.17336854338645935,0.17102082073688507,0.03190414234995842,0.2295474112033844,0.2569897770881653,0.33373376727104187,0.17322401702404022,0.22948618233203888,0.33373376727104187,0.004351064562797546,1.0257432460784912,0.006956964731216431,1.031254529953003,0.004206538200378418
