relationship,type,runs,mean_max,p95_max,event_rate_p99,mean_n_above
lag_Condenser_Cooling_Water_Flow->Separator_Temperature_lag10,fault3,500,2.3349153500918347,3.0886380148900234,0.07,1.032
lag_Condenser_Cooling_Water_Flow->Separator_Temperature_lag10,fault9,500,2.326160948586422,3.127967126067073,0.072,1.042
lag_Condenser_Cooling_Water_Flow->Separator_Temperature_lag10,fault15,500,2.34581125905885,3.127003709725212,0.094,1.186
lag_Condenser_Cooling_Water_Flow->Separator_Temperature_lag5,normal,75,2.3275500165264646,2.9845974501813926,0.06666666666666667,0.6933333333333334
lag_Condenser_Cooling_Water_Flow->Separator_Temperature_lag5,fault3,500,2.3638000425352885,3.1331793521958446,0.074,0.944
lag_Condenser_Cooling_Water_Flow->Separator_Temperature_lag5,fault9,500,2.3569742939826117,3.1752277895407537,0.076,0.908
lag_Condenser_Cooling_Water_Flow->Separator_Temperature_lag5,fault15,500,2.331918284795447,3.126572020658391,0.082,0.89
lag_Reactor_Cooling_Water_Flow->Reactor_Temperature_lag10,normal,75,2.1155206786688217,2.91201810409967,0.05333333333333334,0.49333333333333335
lag_Reactor_Cooling_Water_Flow->Reactor_Temperature_lag10,fault3,500,2.2338573731035236,3.0214296388630233,0.062,0.862
lag_Reactor_Cooling_Water_Flow->Reactor_Temperature_lag10,fault9,500,2.2323187339189863,2.9993574116842034,0.064,0.878
lag_Reactor_Cooling_Water_Flow->Reactor_Temperature_lag10,fault15,500,2.22982025703827,2.999736859558753,0.066,0.864
lag_Reactor_Cooling_Water_Flow->Reactor_Temperature_lag5,normal,75,2.302811898126352,3.208356422135685,0.08,0.8933333333333333
lag_Reactor_Cooling_Water_Flow->Reactor_Temperature_lag5,fault3,500,2.280911259822999,3.1186656298437305,0.074,0.894
lag_Reactor_Cooling_Water_Flow->Reactor_Temperature_lag5,fault9,500,2.2567186575558535,3.0646836994213955,0.064,0.816
lag_Reactor_Cooling_Water_Flow->Reactor_Temperature_lag5,fault15,500,2.270338752858325,3.0877485818668,0.078,0.918
pair_Reactor_Feed_Rate_vs_Reactor_Temperature,normal,75,2.2879890337649655,3.0412676288580673,0.09333333333333334,0.8133333333333334
pair_Reactor_Feed_Rate_vs_Reactor_Temperature,fault3,500,2.3013473541740868,3.0963242079102553,0.066,0.786
pair_Reactor_Feed_Rate_vs_Reactor_Temperature,fault9,500,2.3022725971738236,3.062649788527826,0.068,0.778
pair_Reactor_Feed_Rate_vs_Reactor_Temperature,fault15,500,2.3160403912181358,3.1476699520844886,0.07,0.816
pair_Reactor_Temperature_vs_Reactor_Pressure,normal,75,2.3887707381691454,3.205190832284543,0.08,0.9333333333333333
pair_Reactor_Temperature_vs_Reactor_Pressure,fault3,500,2.3968018832453364,3.234123780900256,0.078,1.016
pair_Reactor_Temperature_vs_Reactor_Pressure,fault9,500,2.4585094456361176,3.2674163930993747,0.086,1.212
pair_Reactor_Temperature_vs_Reactor_Pressure,fault15,500,2.4233715975572943,3.2537332482612973,0.082,1.118
pair_Separator_Temperature_vs_Separator_Pressure,normal,75,2.079339550200921,2.749731829655344,0.13333333333333333,0.8666666666666667
pair_Separator_Temperature_vs_Separator_Pressure,fault3,500,2.112234109482751,2.7353255514249626,0.084,0.752
pair_Separator_Temperature_vs_Separator_Pressure,fault9,500,2.0696639789126916,2.7415677491984605,0.058,0.614
pair_Separator_Temperature_vs_Separator_Pressure,fault15,500,2.2195690880895262,2.898698621426758,0.118,1.35
