fault_id,runs,window_rate,event_rate,mean_max,median_max,std_max,p95_max,p99_max,mean_p95,mean_p99,mean_n_above,mean_max_consec,pct_1_consec,pct_2_consec,pct_3_consec,mean_delay_windows,median_delay_windows,mean false_before
0,75,,0.09333333333333334,0.6826099634170533,0.6804857850074768,0.01861466491794053,0.7189700603485107,0.7387366223335267,,,1.28,0.9866666666666667,,,,,,
1,500,1.0,1.0,34.96337433624267,34.854042053222656,1.7675216612537241,37.884575843811035,39.56766567230225,32.26800565719604,34.76625394821167,89.0,89.0,1.0,1.0,1.0,0.0,0.0,21.0
2,500,1.0,1.0,60.48453707885742,60.44934272766113,0.8925017347633801,61.96725654602051,62.655754470825194,60.03315912628174,60.38316478729248,89.0,89.0,1.0,1.0,1.0,0.0,0.0,21.0
3,500,0.294,0.118,0.6779100556373596,0.6771936416625977,0.01931660454088196,0.7102548569440842,0.7250101435184478,0.6624153693914413,0.673296949505806,1.072,0.844,0.294,0.172,0.118,41.25850340136054,42.0,0.194
4,500,1.0,1.0,1.587077805519104,1.5854508876800537,0.022743656991739525,1.6292932689189912,1.6434566545486449,1.563510974407196,1.57806680727005,89.0,89.0,1.0,1.0,1.0,0.0,0.0,21.0
5,500,1.0,1.0,3.9659099926948547,3.783842086791992,1.020352496730334,5.912888479232787,6.891610422134399,3.5429799246788023,3.9055753464698792,88.948,88.62,1.0,1.0,1.0,0.0,0.0,21.0
6,500,1.0,1.0,632.7392416992187,570.6019592285156,182.34625258350744,933.0472229003906,961.9424829101563,627.2904655151367,631.6722655639649,89.0,89.0,1.0,1.0,1.0,0.0,0.0,21.0
7,500,1.0,1.0,25.58142054748535,25.62384796142578,3.331385081607037,30.973704528808593,33.85136219024658,22.311405519485472,25.252917736053465,89.0,89.0,1.0,1.0,1.0,0.0,0.0,21.0
8,500,1.0,1.0,27.045820822715758,24.71444034576416,13.34029123222657,50.63460254669178,73.97774055480949,24.733188643455506,26.657704838752746,88.908,88.908,1.0,1.0,1.0,0.092,0.0,20.908
9,500,0.298,0.126,0.6787876143455506,0.677791565656662,0.01929354152042819,0.7112374156713486,0.7271337193250657,0.663347269654274,0.674145208477974,1.142,0.916,0.298,0.192,0.126,40.281879194630875,42.0,0.202
10,500,1.0,1.0,0.9268451162576675,0.9032690525054932,0.11420196580316141,1.13980775475502,1.383166968822479,0.8904773234128952,0.9182667294740677,66.878,45.036,1.0,1.0,1.0,6.64,5.0,12.664
11,500,1.0,1.0,2.303150862455368,2.287580966949463,0.240125696164578,2.711896061897278,2.963091833591461,2.1570901432037353,2.2692853095531462,88.994,88.994,1.0,1.0,1.0,0.006,0.0,20.994
12,500,1.0,1.0,77.39590082263946,36.45536231994629,159.14368853378238,453.46841583251853,910.5370336914061,68.03952549171447,75.65539578342438,89.0,89.0,1.0,1.0,1.0,0.0,0.0,21.0
13,500,1.0,1.0,47.924212518692016,37.6231575012207,59.28666105286243,76.28461303710935,428.73894439697267,42.9939948310852,47.17718756866455,86.386,86.378,1.0,1.0,1.0,2.59,2.0,18.386
14,500,1.0,1.0,10.931875352859498,10.92298173904419,0.2707215415307948,11.395156335830688,11.531184854507446,10.634707176208495,10.84663677406311,89.0,89.0,1.0,1.0,1.0,0.0,0.0,21.0
15,500,0.406,0.196,0.684489742398262,0.6830354034900665,0.019916269796822542,0.7186480492353439,0.7328057479858398,0.6686922613382339,0.6798997735977172,1.818,1.374,0.406,0.29,0.196,39.16256157635468,39.0,0.358
16,500,1.0,1.0,0.8564913467168808,0.8489459156990051,0.054143941645145924,0.9634829074144361,1.0214482486248015,0.8285262390375138,0.8494084808826446,67.51,38.642,1.0,1.0,1.0,4.262,2.0,14.668
17,500,1.0,1.0,57.17407574462891,57.421072006225586,2.674810476858641,60.84466018676758,62.61810779571533,51.37922418212891,55.562547859191895,87.21,87.21,1.0,1.0,1.0,1.79,1.0,19.21
18,500,1.0,1.0,603.3925305480957,616.3106384277344,358.5766258611793,1105.9801696777345,1122.4097729492187,570.9638381996155,597.3009418792725,83.258,83.248,1.0,1.0,1.0,5.714,5.0,15.258
19,500,1.0,1.0,0.8868726863861084,0.8850265443325043,0.024073355925672692,0.9277114301919938,0.9475295531749724,0.8675404198169708,0.8812070285081863,88.804,88.72,1.0,1.0,1.0,0.194,0.0,20.806
20,500,1.0,1.0,2.078449656009674,2.0701550245285034,0.09819914221587828,2.2540057897567745,2.334647097587585,1.9372201151847839,2.0444264538288115,85.392,85.378,1.0,1.0,1.0,3.574,3.0,17.392
