type,simulationRun,sensor,pre_onset_mean,post_onset_mean,post_onset_p95,post_onset_max
normal,4,XMEAS_1,0.4439089000225067,0.4439089000225067,0.5803236365318298,0.642075777053833
normal,4,XMEAS_2,0.6760727763175964,0.6760727763175964,0.8405330181121826,1.041987419128418
normal,4,XMEAS_3,0.7601140141487122,0.7601140141487122,0.9623003005981445,1.015857458114624
normal,4,XMEAS_4,0.8229804039001465,0.8229804039001465,1.1462726593017578,1.194993019104004
normal,4,XMEAS_5,1.0265361070632935,1.0265361070632935,1.304962158203125,1.4507197141647339
normal,4,XMEAS_6,1.0022886991500854,1.0022886991500854,1.367423415184021,1.468680500984192
normal,4,XMEAS_7,0.04688819497823715,0.04688819497823715,0.060028158128261566,0.06598314642906189
normal,4,XMEAS_8,0.7969194650650024,0.7969194650650024,1.0299257040023804,1.0964837074279785
normal,4,XMEAS_9,0.7371870875358582,0.7371870875358582,0.9564042687416077,1.0632990598678589
normal,4,XMEAS_10,0.7187897562980652,0.7187897562980652,0.9585174322128296,1.0421462059020996
normal,4,XMEAS_11,0.36063092947006226,0.36063092947006226,0.4811038076877594,0.5424898862838745
normal,4,XMEAS_12,0.9455973505973816,0.9455973505973816,1.2258862257003784,1.2825404405593872
normal,4,XMEAS_13,0.053997378796339035,0.053997378796339035,0.07415851950645447,0.08121103793382645
normal,4,XMEAS_14,0.9075448513031006,0.9075448513031006,1.1257292032241821,1.2534290552139282
normal,4,XMEAS_15,0.9684181809425354,0.9684181809425354,1.188868522644043,1.2950414419174194
normal,4,XMEAS_16,0.0721219927072525,0.0721219927072525,0.09570370614528656,0.10177697241306305
normal,4,XMEAS_17,0.8632681965827942,0.8632681965827942,1.1013559103012085,1.152524709701538
normal,4,XMEAS_18,0.021274426952004433,0.021274426952004433,0.03154926747083664,0.0339004211127758
normal,4,XMEAS_19,0.029889840632677078,0.029889840632677078,0.0447814054787159,0.0518769845366478
normal,4,XMEAS_20,0.03715134784579277,0.03715134784579277,0.055146027356386185,0.0741710290312767
normal,4,XMEAS_21,0.5241222381591797,0.5241222381591797,0.6630228161811829,0.7013182640075684
normal,4,XMEAS_22,0.7891380786895752,0.7891380786895752,1.0191664695739746,1.1821393966674805
normal,4,XMEAS_23,0.5388030409812927,0.5388030409812927,0.720766007900238,0.7963201999664307
normal,4,XMEAS_24,0.6628363728523254,0.6628363728523254,0.9691002368927002,1.1285161972045898
normal,4,XMEAS_25,0.6367619037628174,0.6367619037628174,0.8556641340255737,0.9178906083106995
normal,4,XMEAS_26,0.6349596977233887,0.6349596977233887,0.8777705430984497,0.8934521675109863
normal,4,XMEAS_27,0.6804993152618408,0.6804993152618408,0.8623582124710083,0.8771832585334778
normal,4,XMEAS_28,0.883533239364624,0.883533239364624,1.192172884941101,1.2807343006134033
normal,4,XMEAS_29,0.488996684551239,0.488996684551239,0.6593572497367859,0.742742657661438
normal,4,XMEAS_30,0.7230310440063477,0.7230310440063477,0.9786975383758545,1.0568019151687622
normal,4,XMEAS_31,0.46277090907096863,0.46277090907096863,0.7296417951583862,0.8079394102096558
normal,4,XMEAS_32,0.8065463900566101,0.8065463900566101,1.519525408744812,1.6229158639907837
normal,4,XMEAS_33,0.520893931388855,0.520893931388855,0.6631113290786743,0.7014741897583008
normal,4,XMEAS_34,0.9133302569389343,0.9133302569389343,1.1657980680465698,1.1937578916549683
normal,4,XMEAS_35,0.5664787292480469,0.5664787292480469,0.8654379844665527,0.9378710985183716
normal,4,XMEAS_36,1.1609470844268799,1.1609470844268799,1.534075140953064,1.6617742776870728
normal,4,XMEAS_37,0.602257251739502,0.602257251739502,1.1013662815093994,1.1811398267745972
normal,4,XMEAS_38,0.32188281416893005,0.32188281416893005,0.5391759276390076,0.6393974423408508
normal,4,XMEAS_39,0.6119220852851868,0.6119220852851868,0.980323851108551,1.1567879915237427
normal,4,XMEAS_40,0.4552106559276581,0.4552106559276581,0.9045763611793518,1.0929704904556274
normal,4,XMEAS_41,0.4917488396167755,0.4917488396167755,1.0818239450454712,1.3839303255081177
normal,4,XMV_1,0.6982311010360718,0.6982311010360718,0.8956120610237122,0.9665456414222717
normal,4,XMV_2,0.8079090118408203,0.8079090118408203,1.1108485460281372,1.1769616603851318
normal,4,XMV_3,0.44444403052330017,0.44444403052330017,0.5934764742851257,0.6396872401237488
normal,4,XMV_4,0.9714906811714172,0.9714906811714172,1.17611563205719,1.201106309890747
normal,4,XMV_5,0.15919877588748932,0.15919877588748932,0.2223946452140808,0.24837997555732727
normal,4,XMV_6,0.6241986751556396,0.6241986751556396,0.8277944326400757,0.9047051668167114
normal,4,XMV_7,0.9454265832901001,0.9454265832901001,1.2256639003753662,1.282240629196167
normal,4,XMV_8,0.9683539867401123,0.9683539867401123,1.1889193058013916,1.2947100400924683
normal,4,XMV_9,0.016054578125476837,0.016054578125476837,0.025710809975862503,0.029836878180503845
normal,4,XMV_10,0.7634363770484924,0.7634363770484924,1.0405253171920776,1.1377763748168945
normal,4,XMV_11,0.8613594770431519,0.8613594770431519,1.0979245901107788,1.1467794179916382
normal,13,XMEAS_1,0.3905634582042694,0.3905634582042694,0.5480700135231018,0.6048144102096558
normal,13,XMEAS_2,0.6350345611572266,0.6350345611572266,0.9175381660461426,0.9803603887557983
normal,13,XMEAS_3,0.7152533531188965,0.7152533531188965,0.9835849404335022,1.099445104598999
normal,13,XMEAS_4,0.664412796497345,0.664412796497345,0.8740379810333252,0.9620229601860046
normal,13,XMEAS_5,0.9653165340423584,0.9653165340423584,1.2888789176940918,1.340380072593689
normal,13,XMEAS_6,0.8801956176757812,0.8801956176757812,1.0813992023468018,1.1484133005142212
normal,13,XMEAS_7,0.0444243960082531,0.0444243960082531,0.0555073618888855,0.06201566383242607
normal,13,XMEAS_8,0.861297070980072,0.861297070980072,1.1656301021575928,1.2335140705108643
normal,13,XMEAS_9,0.737967312335968,0.737967312335968,0.9058985114097595,0.9394915699958801
normal,13,XMEAS_10,0.596186101436615,0.596186101436615,0.9963675737380981,1.1521294116973877
normal,13,XMEAS_11,0.2864418923854828,0.2864418923854828,0.37018826603889465,0.42601171135902405
normal,13,XMEAS_12,0.991088330745697,0.991088330745697,1.2616145610809326,1.387857437133789
normal,13,XMEAS_13,0.048550043255090714,0.048550043255090714,0.05999065190553665,0.06487014144659042
normal,13,XMEAS_14,1.0053004026412964,1.0053004026412964,1.3354296684265137,1.525168538093567
normal,13,XMEAS_15,1.0320378541946411,1.0320378541946411,1.2289073467254639,1.3348400592803955
normal,13,XMEAS_16,0.06415253132581711,0.06415253132581711,0.09002476185560226,0.1003364622592926
normal,13,XMEAS_17,0.9720703363418579,0.9720703363418579,1.2183382511138916,1.3720422983169556
normal,13,XMEAS_18,0.018313683569431305,0.018313683569431305,0.028895821422338486,0.03177473694086075
normal,13,XMEAS_19,0.026428181678056717,0.026428181678056717,0.03706879913806915,0.048416491597890854
normal,13,XMEAS_20,0.03601578623056412,0.03601578623056412,0.06311631202697754,0.07326406240463257
normal,13,XMEAS_21,0.36222943663597107,0.36222943663597107,0.5411995649337769,0.5926874279975891
normal,13,XMEAS_22,0.7533022165298462,0.7533022165298462,0.9361854791641235,1.0356298685073853
normal,13,XMEAS_23,0.47080522775650024,0.47080522775650024,0.6917232871055603,0.7806835770606995
normal,13,XMEAS_24,0.977092981338501,0.977092981338501,1.219342589378357,1.3530142307281494
normal,13,XMEAS_25,0.5936539173126221,0.5936539173126221,0.9370520114898682,1.030670404434204
normal,13,XMEAS_26,0.4330967962741852,0.4330967962741852,0.603126049041748,0.6376462578773499
normal,13,XMEAS_27,0.6894360780715942,0.6894360780715942,1.0044095516204834,1.2065036296844482
